date,Close,High,Low,Open,Volume,Adjclose,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
2024-05-15 00:00:00+00:00,7.99,8.53,7.87,8.51,11634818,7.99,8.53,7.87,8.51,11634818,0.0,1.0
2024-05-16 00:00:00+00:00,8.27,8.45,7.9,8.04,9469611,8.27,8.45,7.9,8.04,9469611,0.0,1.0
2024-05-17 00:00:00+00:00,8.3,8.465,8.03,8.16,9242011,8.3,8.465,8.03,8.16,9242011,0.0,1.0
2024-05-20 00:00:00+00:00,8.28,8.54,8.14,8.51,17836813,8.28,8.54,8.14,8.51,17836813,0.0,1.0
2024-05-21 00:00:00+00:00,8.77,10.47,8.56,8.72,61603290,8.77,10.47,8.56,8.72,61603290,0.0,1.0
2024-05-22 00:00:00+00:00,8.75,9.02,8.61,8.9,16761416,8.75,9.02,8.61,8.9,16761416,0.0,1.0
2024-05-23 00:00:00+00:00,8.1,8.44,7.9,8.4,21302937,8.1,8.44,7.9,8.4,21302937,0.0,1.0
2024-05-24 00:00:00+00:00,8.2,8.42,8.1046,8.13,8066700,8.2,8.42,8.1046,8.13,8066700,0.0,1.0
2024-05-28 00:00:00+00:00,8.44,8.5,8.135,8.185,10654074,8.44,8.5,8.135,8.185,10654074,0.0,1.0
2024-05-29 00:00:00+00:00,8.21,8.34,8.1492,8.19,7392027,8.21,8.34,8.1492,8.19,7392027,0.0,1.0
2024-05-30 00:00:00+00:00,8.66,8.73,8.15,8.15,15393720,8.66,8.73,8.15,8.15,15393720,0.0,1.0
2024-05-31 00:00:00+00:00,8.31,8.5,8.17,8.39,14027378,8.31,8.5,8.17,8.39,14027378,0.0,1.0
2024-06-03 00:00:00+00:00,8.12,8.58,8.03,8.54,9729266,8.12,8.58,8.03,8.54,9729266,0.0,1.0
2024-06-04 00:00:00+00:00,8.1,8.18,8.01,8.145,6887917,8.1,8.18,8.01,8.145,6887917,0.0,1.0
2024-06-05 00:00:00+00:00,8.35,8.5,8.18,8.3,9990500,8.35,8.5,8.18,8.3,9990500,0.0,1.0
2024-06-06 00:00:00+00:00,8.36,8.47,8.23,8.25,9192482,8.36,8.47,8.23,8.25,9192482,0.0,1.0
2024-06-07 00:00:00+00:00,8.15,8.44,8.12,8.225,7341048,8.15,8.44,8.12,8.225,7341048,0.0,1.0
