Date,AdjClose,Close,High,Low,Open,Volume
2021-09-20,1727776.75,2013000.0,2094000.0,1971000.0,1986000.0,63
2021-09-21,1709752.25,1992000.0,2052000.0,1950000.0,1968000.0,40
2021-09-22,1604180.125,1869000.0,1971000.0,1857000.0,1950000.0,46
2021-09-23,1539807.125,1794000.0,1866000.0,1779000.0,1845000.0,38
2021-09-24,1547531.625,1803000.0,1845000.0,1791000.0,1842000.0,29
2021-09-27,1552681.625,1809000.0,1893000.0,1794000.0,1857000.0,36
2021-09-28,1735501.375,2022000.0,2028000.0,1884000.0,1905000.0,67
2021-09-29,1823049.125,2124000.0,2136000.0,1995000.0,2016000.0,49
2021-09-30,1823049.125,2124000.0,2127000.0,2022000.0,2073000.0,43
2021-10-01,1823049.125,2124000.0,2226000.0,2085000.0,2094000.0,35
2021-10-04,1962095.0,2286000.0,2304000.0,2151000.0,2160000.0,50
2021-10-05,1871972.625,2181000.0,2265000.0,2133000.0,2244000.0,42
2021-10-06,1853948.25,2160000.0,2277000.0,2151000.0,2250000.0,43
2021-10-07,1784425.375,2079000.0,2088000.0,1992000.0,2073000.0,37
2021-10-08,1833348.375,2136000.0,2151000.0,2049000.0,2055000.0,27
2021-10-11,1877122.375,2187000.0,2190000.0,2079000.0,2178000.0,24
2021-10-12,1941496.0,2262000.0,2298000.0,2136000.0,2139000.0,44
2021-10-13,1908021.5,2223000.0,2253000.0,2187000.0,2226000.0,30
2021-10-14,1738076.25,2025000.0,2127000.0,2025000.0,2100000.0,43
2021-10-15,1699452.5,1980000.0,2013000.0,1962000.0,1980000.0,28
2021-10-18,1658253.625,1932000.0,2052000.0,1932000.0,2022000.0,26
2021-10-19,1601605.125,1866000.0,1950000.0,1863000.0,1923000.0,27
2021-10-20,1611904.75,1878000.0,1899000.0,1854000.0,1881000.0,25
2021-10-21,1557831.5,1815000.0,1914000.0,1809000.0,1914000.0,31
2021-10-22,1611904.75,1878000.0,1887000.0,1788000.0,1848000.0,35
2021-10-25,1578430.75,1839000.0,1872000.0,1806000.0,1854000.0,26
2021-10-26,1575856.0,1836000.0,1854000.0,1776000.0,1794000.0,46
2021-10-27,1611904.75,1878000.0,1893000.0,1809000.0,1869000.0,37
2021-10-28,1496033.125,1743000.0,1809000.0,1743000.0,1800000.0,52
2021-10-29,1480583.625,1725000.0,1800000.0,1722000.0,1791000.0,41
2021-11-01,1411060.625,1644000.0,1728000.0,1638000.0,1722000.0,40
2021-11-02,1359562.0,1584000.0,1650000.0,1578000.0,1647000.0,45
2021-11-03,1308063.25,1524000.0,1590000.0,1515000.0,1575000.0,42
2021-11-04,1179317.25,1374000.0,1497000.0,1350000.0,1473000.0,101
2021-11-05,1138118.25,1326000.0,1365000.0,1293000.0,1341000.0,95
2021-11-08,1089194.5,1269000.0,1314000.0,1242000.0,1302000.0,89
2021-11-09,1089194.5,1269000.0,1311000.0,1227000.0,1233000.0,108
2021-11-10,1184466.875,1380000.0,1398000.0,1290000.0,1341000.0,119
2021-11-11,1109793.875,1293000.0,1344000.0,1284000.0,1311000.0,76
2021-11-12,1078894.875,1257000.0,1302000.0,1236000.0,1275000.0,60
2021-11-15,1076319.75,1254000.0,1296000.0,1224000.0,1233000.0,50
2021-11-16,1032546.3125,1203000.0,1281000.0,1194000.0,1278000.0,61
2021-11-17,1053145.625,1227000.0,1245000.0,1200000.0,1200000.0,52
2021-11-18,1001647.0,1167000.0,1200000.0,1146000.0,1164000.0,72
2021-11-19,988772.3125,1152000.0,1182000.0,1131000.0,1170000.0,59
2021-11-22,1035121.3125,1206000.0,1209000.0,1086000.0,1131000.0,96
2021-11-23,1042845.6875,1215000.0,1281000.0,1182000.0,1215000.0,103
2021-11-24,1011946.5625,1179000.0,1284000.0,1176000.0,1248000.0,69
2021-11-26,1094344.375,1275000.0,1302000.0,1209000.0,1245000.0,70
2021-11-29,960448.0625,1119000.0,1233000.0,1119000.0,1218000.0,82
2021-11-30,1014521.6875,1182000.0,1215000.0,1110000.0,1140000.0,93
2021-12-01,1037696.0625,1209000.0,1215000.0,1068000.0,1137000.0,127
2021-12-02,1037696.0625,1209000.0,1278000.0,1182000.0,1248000.0,113
2021-12-03,1045420.9375,1218000.0,1260000.0,1119000.0,1158000.0,108
2021-12-06,1047995.5625,1221000.0,1338000.0,1209000.0,1233000.0,123
2021-12-07,890925.0,1038000.0,1140000.0,1029000.0,1140000.0,152
2021-12-08,906374.625,1056000.0,1092000.0,1050000.0,1053000.0,75
2021-12-09,968173.0625,1128000.0,1134000.0,1044000.0,1077000.0,92
2021-12-10,942423.6875,1098000.0,1143000.0,1050000.0,1068000.0,77
2021-12-13,1017096.75,1185000.0,1191000.0,1083000.0,1089000.0,82
2021-12-14,1027396.3125,1197000.0,1248000.0,1182000.0,1227000.0,121
2021-12-15,916674.1875,1068000.0,1245000.0,1068000.0,1188000.0,91
2021-12-16,1042845.6875,1215000.0,1230000.0,1053000.0,1059000.0,92
2021-12-17,1040270.625,1212000.0,1257000.0,1158000.0,1248000.0,99
2021-12-20,1063445.375,1239000.0,1287000.0,1218000.0,1269000.0,71
2021-12-21,957873.375,1116000.0,1215000.0,1110000.0,1164000.0,68
2021-12-22,932123.6875,1086000.0,1146000.0,1086000.0,1134000.0,48
2021-12-23,896074.9375,1044000.0,1074000.0,1026000.0,1074000.0,75
2021-12-27,823976.9375,960000.0,1035000.0,960000.0,1035000.0,80
2021-12-28,849726.25,990000.0,1005000.0,945000.0,945000.0,93
2021-12-29,849726.25,990000.0,1005000.0,966000.0,996000.0,40
2021-12-30,880625.375,1026000.0,1029000.0,981000.0,990000.0,52
2021-12-31,880625.375,1026000.0,1029000.0,996000.0,1020000.0,53
2022-01-03,829126.8125,966000.0,1020000.0,966000.0,1011000.0,72
2022-01-04,839426.5625,978000.0,1047000.0,936000.0,957000.0,116
2022-01-05,921824.3125,1074000.0,1077000.0,972000.0,1002000.0,127
2022-01-06,898649.75,1047000.0,1113000.0,1035000.0,1080000.0,114
2022-01-07,978472.5,1140000.0,1152000.0,1041000.0,1056000.0,105
2022-01-10,973322.75,1134000.0,1257000.0,1131000.0,1179000.0,178
2022-01-11,919249.375,1071000.0,1176000.0,1071000.0,1155000.0,104
2022-01-12,901224.6875,1050000.0,1086000.0,1020000.0,1044000.0,130
2022-01-13,963023.125,1122000.0,1134000.0,978000.0,1005000.0,182
2022-01-14,896074.9375,1044000.0,1155000.0,1041000.0,1152000.0,178
2022-01-18,1011946.5625,1179000.0,1191000.0,1095000.0,1101000.0,167
2022-01-19,1104644.0,1287000.0,1290000.0,1131000.0,1158000.0,208
2022-01-20,1212791.125,1413000.0,1416000.0,1227000.0,1254000.0,209
2022-01-21,1274589.25,1485000.0,1491000.0,1317000.0,1428000.0,238
2022-01-24,1217941.125,1419000.0,1722000.0,1419000.0,1584000.0,255
2022-01-25,1364711.75,1590000.0,1614000.0,1485000.0,1542000.0,194
2022-01-26,1292614.0,1506000.0,1590000.0,1314000.0,1452000.0,241
2022-01-27,1472858.75,1716000.0,1731000.0,1458000.0,1458000.0,183
2022-01-28,1390461.0,1620000.0,1869000.0,1617000.0,1731000.0,191
2022-01-31,1161292.5,1353000.0,1620000.0,1350000.0,1590000.0,178
2022-02-01,1125243.5,1311000.0,1422000.0,1305000.0,1317000.0,215
2022-02-02,1042845.6875,1215000.0,1299000.0,1209000.0,1239000.0,276
2022-02-03,1181891.75,1377000.0,1392000.0,1251000.0,1311000.0,220
2022-02-04,1158717.625,1350000.0,1452000.0,1314000.0,1404000.0,187
2022-02-07,1158717.625,1350000.0,1371000.0,1290000.0,1341000.0,159
2022-02-08,1081469.75,1260000.0,1380000.0,1242000.0,1374000.0,199
2022-02-09,973322.75,1134000.0,1251000.0,1128000.0,1206000.0,190
2022-02-10,1063445.375,1239000.0,1254000.0,1107000.0,1212000.0,296
2022-02-11,1217941.125,1419000.0,1449000.0,1200000.0,1227000.0,259
2022-02-14,1217941.125,1419000.0,1476000.0,1332000.0,1407000.0,214
2022-02-15,1011946.5625,1179000.0,1335000.0,1179000.0,1329000.0,237
2022-02-16,1014521.6875,1182000.0,1257000.0,1170000.0,1221000.0,214
2022-02-17,1127818.5,1314000.0,1320000.0,1224000.0,1230000.0,256
2022-02-18,1158717.625,1350000.0,1413000.0,1296000.0,1308000.0,269
2022-02-22,1187042.0,1383000.0,1449000.0,1284000.0,1401000.0,315
2022-02-23,1274589.25,1485000.0,1494000.0,1290000.0,1335000.0,268
2022-02-24,1132968.625,1320000.0,1665000.0,1311000.0,1647000.0,299
2022-02-25,1078894.875,1257000.0,1374000.0,1254000.0,1311000.0,225
2022-02-28,1099494.375,1281000.0,1350000.0,1239000.0,1299000.0,250
2022-03-01,1212791.125,1413000.0,1455000.0,1266000.0,1287000.0,205
2022-03-02,1094344.375,1275000.0,1389000.0,1248000.0,1383000.0,178
2022-03-03,1163867.625,1356000.0,1380000.0,1251000.0,1251000.0,230
2022-03-04,1248840.125,1455000.0,1509000.0,1359000.0,1398000.0,201
