Date,Close,High,Low,Open,Volume
2021-03-01,16.198068618774414,16.230975240377425,13.42053065694785,13.533457692221251,13773176000
2021-06-01,22.328720092773438,22.985064797090526,15.863265954546742,16.22909459084904,24512755000
2021-09-01,32.60706329345703,34.573905814706684,19.513745815322117,22.437564802882214,20781234000
2021-12-01,24.333559036254883,33.21877690381694,20.84393636498315,33.148924876319,32384939000
2022-03-01,18.634889602661133,28.88846791713182,15.536060408412588,24.242721117582317,36592010000
2022-06-01,15.066568374633789,19.583344362977698,14.029457071027057,18.689972362334245,33188915000
2022-09-01,16.895816802978516,16.97069518738786,10.795630728949385,14.186175619209589,36280458000
2022-12-01,23.191524505615234,23.862816944399693,13.86936283893763,16.981079623850654,28794591000
2023-03-01,37.79411315917969,41.89378661075163,22.273494283321508,23.16754928197617,30398000000
2023-06-01,49.311344146728516,50.22153764936207,37.32295693181668,38.45495419337148,32866047000
2023-09-01,46.73347473144531,50.50852412427298,39.19936229159009,49.72313866399998,27864992000
2023-12-01,79.05671691894531,82.33642117582558,44.978545831098124,46.492490367912815,28179480000
2024-03-01,109.5660171508789,115.7482344979837,75.55980731990493,79.95111976721763,31866726000
2024-06-01,119.30267333984375,140.68060029803502,90.63884969012052,113.55691545440786,21934983100
2024-09-01,138.18338012695312,152.81632479760884,100.9013511906959,115.95409926740962,16396495000
2024-12-01,124.8704833984375,153.0693084598156,112.96520815285804,138.7749735266917,14789486400
2025-03-01,135.08575439453125,143.44301738854543,86.59163763685098,123.46955680429338,17745760500
2025-06-01,174.13894653320312,184.43652235214662,135.3680864002836,135.45807678540635,11026992400
2025-09-01,176.9705810546875,212.1547346104589,164.0427374565753,169.97174451580156,12081661000
2025-12-01,177.17056274414062,197.60832269187287,170.29131267373438,174.74082140823813,10667367300
2026-03-01,174.1522979736328,188.8800048828125,174.10000610351562,175.00999450683594,2623830198
