date,Open,High,Low,Close,Volume,volumenotional,tradesdone
2024-04-09 00:00:00+00:00,0.6139118714449413,0.6240693747584221,0.5897529944786234,0.5911295175926371,26618488.24789095,15734974.117021056,40145.0
2024-04-10 00:00:00+00:00,0.5908807582491827,0.5938985113839121,0.5578826195370142,0.5861384012973042,30334318.004667774,17780108.6597,46838.0
2024-04-11 00:00:00+00:00,0.5862370353799741,0.59455337931589,0.5754238711715715,0.5857909930705644,16753503.05608933,9814051.192637304,27794.0
2024-04-12 00:00:00+00:00,0.5859451417753531,0.5924120832997253,0.4649560065200983,0.5029343170610626,95648379.86221926,48104852.604002334,118609.0
2024-04-13 00:00:00+00:00,0.5027279130062438,0.5165371642932879,0.40398545971482447,0.4458128001954796,92916794.99134985,41423496.56028299,103123.0
2024-04-14 00:00:00+00:00,0.4458246474793788,0.47799358539591147,0.433389500073528,0.468240407274841,68192995.13871914,31930715.817045104,77389.0
2024-04-15 00:00:00+00:00,0.4680393082054082,0.49566737904346964,0.4393264567478838,0.4611219445051894,56641361.35237028,26118574.686226066,60558.0
2024-04-16 00:00:00+00:00,0.4610886458898984,0.47864540779832854,0.43937792410759396,0.4586337993809718,37036897.10227369,16986372.835297886,44337.0
2024-04-17 00:00:00+00:00,0.45846834429912947,0.46514378481302165,0.42754732610457247,0.4442059283783705,29902231.86010364,13282748.664002625,41996.0
2024-04-18 00:00:00+00:00,0.4444847176980664,0.4614537362211599,0.43456479197614795,0.4583234118715488,25349960.014120348,11618480.164478973,33885.0
2024-04-19 00:00:00+00:00,0.4582400500493914,0.47618728904813556,0.4229795703589518,0.4683894522382806,41227446.014896415,19310500.856100615,55409.0
2024-04-20 00:00:00+00:00,0.46854766857995633,0.5087164929859146,0.4649219297483046,0.50737985948458,33829386.44902166,17164349.342954163,48356.0
2024-04-21 00:00:00+00:00,0.5072098146797634,0.5128600136332228,0.4877887438787174,0.4992178421432177,26243469.7482913,13101208.338092795,35657.0
2024-04-22 00:00:00+00:00,0.4996072478584168,0.5227255928598208,0.49514232193018975,0.5170121513330834,30654275.387172278,15848632.865478728,35628.0
2024-04-23 00:00:00+00:00,0.5168281164525228,0.5218320685207226,0.49717956656797563,0.4999738368062957,36260092.882159956,18129097.761246167,36769.0
2024-04-24 00:00:00+00:00,0.5001213419407429,0.5107352541171832,0.46867616583825866,0.47465853379479417,30893890.58894738,14664048.810166555,45088.0
2024-04-25 00:00:00+00:00,0.47460695280302284,0.479743911837887,0.4621920749337245,0.4705265070204727,22477007.0907946,10576027.634705981,35000.0
2024-04-26 00:00:00+00:00,0.4704232428473373,0.47881684460573676,0.46060086540141976,0.46282407130499265,14367376.30323877,6649567.594635842,29378.0
2024-04-27 00:00:00+00:00,0.4630859987744779,0.4696296860066755,0.44500400903137144,0.46711516355289023,15344809.64630121,7167793.267619957,29798.0
2024-04-28 00:00:00+00:00,0.46734946283002227,0.47798602588862193,0.4581666348911245,0.45970690442029716,13160364.686227689,6049910.510947926,22627.0
2024-04-29 00:00:00+00:00,0.45993365295080957,0.4635294519203662,0.4464417219625918,0.45702915822284673,18331013.70472157,8377807.762840366,28036.0
2024-04-30 00:00:00+00:00,0.45707390738452847,0.46301453603179843,0.42560877304633166,0.4409731310556535,35852140.96332404,15809830.855645655,44550.0
2024-05-01 00:00:00+00:00,0.4408910354909709,0.45730564755393627,0.4179803342556009,0.4494658018494116,37777784.42781355,16979822.169941433,41916.0
2024-05-02 00:00:00+00:00,0.4495001065279598,0.4625728074132134,0.4384585961696042,0.4578024701739649,32328058.43050956,14799865.005415548,26990.0
2024-05-03 00:00:00+00:00,0.45794068671136046,0.47380519735726556,0.4463716753739329,0.46752838971148697,24140323.876413368,11286286.749053303,25299.0
2024-05-04 00:00:00+00:00,0.4676263809211134,0.47681584885376127,0.46249746636620886,0.46325602281413475,15795523.75249395,7317371.511846544,19843.0
2024-05-05 00:00:00+00:00,0.4633156024356114,0.4659863434848399,0.4522797412440059,0.4581427000044988,13557224.99991241,6211143.666028362,17295.0
2024-05-06 00:00:00+00:00,0.4581922812820293,0.47532118028948483,0.4515780785984938,0.4539057677624589,20861409.96067768,9469114.30480881,27559.0
2024-05-07 00:00:00+00:00,0.45400884566457467,0.45643378680356905,0.4408011739903646,0.44146964213159484,21312703.16530867,9408911.439245727,24025.0
2024-05-08 00:00:00+00:00,0.44145280232009915,0.4687177124887476,0.4364820274769397,0.45162584062352673,28425231.33224464,12837568.995343195,34223.0
2024-05-09 00:00:00+00:00,0.45153575622962405,0.4645275268681388,0.4468398655798186,0.4635435445384153,16889325.32519963,7828937.72610546,22394.0
2024-05-10 00:00:00+00:00,0.4635368648385003,0.468681341812327,0.4431112371667402,0.4477769454078713,18087954.50541231,8099369.017110067,28614.0
2024-05-11 00:00:00+00:00,0.4478994902307945,0.4509079170056453,0.43779987818165744,0.4387257085873971,11509259.226850232,5049407.909615907,20778.0
2024-05-12 00:00:00+00:00,0.4387988047503575,0.44336089091222675,0.43304180284624866,0.43772237177211676,7201428.81006683,3152226.4988905056,11454.0
2024-05-13 00:00:00+00:00,0.43788996645191913,0.45290812122582796,0.42530051102848043,0.436581689223203,20707921.95460248,9040699.547242602,23113.0
2024-05-14 00:00:00+00:00,0.4365144022133612,0.43835477111804655,0.42611865330560766,0.4281411905514575,13551882.727480482,5802119.205157227,16272.0
2024-05-15 00:00:00+00:00,0.42841491878525756,0.4553397166092089,0.42594958144746653,0.45273435530276357,24741303.249669522,11201237.9760893,23039.0
2024-05-16 00:00:00+00:00,0.45285610954826916,0.4629630756376257,0.44873557698443983,0.45976665072097256,24400542.776557863,11218555.82815183,21635.0
2024-05-17 00:00:00+00:00,0.4599153961126932,0.4907923666284382,0.45530908470225934,0.4822622872792651,29953786.656241134,14445581.66551398,28550.0
2024-05-18 00:00:00+00:00,0.4825237190798913,0.4860135521464493,0.4757947660812676,0.4823779013385096,11425025.40658275,5511179.77836654,14771.0
2024-05-19 00:00:00+00:00,0.48209280702473156,0.4838373180084592,0.4643167872801318,0.46714504866363293,13967225.80494775,6524720.378348267,14015.0
2024-05-20 00:00:00+00:00,0.46734640904081504,0.5031292383354927,0.46073490441235965,0.5020687416552767,39310397.82105346,19736521.967984643,33168.0
2024-05-21 00:00:00+00:00,0.5022871340543451,0.5104328473446151,0.4906287140245765,0.49447736834589917,25950599.82100712,12831984.306489164,33844.0
2024-05-22 00:00:00+00:00,0.49462659125512676,0.4952830234201934,0.4747821082696437,0.48319674380444255,20190814.71613228,9756135.925593937,23081.0
2024-05-23 00:00:00+00:00,0.4832837653792255,0.4884010758025376,0.44508930730491714,0.46560798114505825,33104587.512978088,15413760.158557633,39718.0
2024-05-24 00:00:00+00:00,0.4654144290451335,0.46961007434574054,0.4541259312607477,0.45999703816040377,17998869.2917109,8279426.5644232575,23544.0
2024-05-25 00:00:00+00:00,0.45997203047589086,0.46450251355585864,0.45709492283778647,0.4620298764779714,9908179.8943142,4577875.132691509,15292.0
2024-05-26 00:00:00+00:00,0.46221011133856316,0.46280734227157583,0.4548058934100382,0.4580489323134728,10032716.24672111,4595474.9650146365,12048.0
2024-05-27 00:00:00+00:00,0.45810572526027865,0.4748275638468148,0.45636681978502364,0.46809226364897805,15814377.297045661,7402587.667173111,18558.0
2024-05-28 00:00:00+00:00,0.4681247279624351,0.4689195132656655,0.4516126514403553,0.45723920605588525,13711888.20826039,6269612.877872036,17984.0
2024-05-29 00:00:00+00:00,0.4573289433618817,0.46386736313784294,0.45023867116468363,0.450717477339167,14527570.60314362,6547829.974115533,18942.0
2024-05-30 00:00:00+00:00,0.45076820907599024,0.4661103406370411,0.44059958335870075,0.4464092143326066,20276750.48439873,9051728.252958737,19378.0
2024-05-31 00:00:00+00:00,0.44648345379464577,0.45558824230809175,0.4433893850081097,0.44658183499465554,12711289.89400753,5676631.166014903,17397.0
2024-06-01 00:00:00+00:00,0.44674921153014757,0.4529853292123998,0.44456679791434306,0.4495277135485518,6692007.37424262,3008242.773993333,9595.0
2024-06-02 00:00:00+00:00,0.449660009606614,0.45371103025351994,0.4402775573068605,0.44622189632201276,9023957.277666729,4026687.3287692755,11424.0
2024-06-03 00:00:00+00:00,0.4463418410488562,0.4633122424107175,0.4431516854286518,0.4574712674808005,14888062.47351754,6810860.810093411,18453.0
