Datetime,Close,High,Low,Open,Volume
2026-03-16 13:30:00+00:00,152.68499755859375,153.69000244140625,151.85000610351562,152.4499969482422,1064341
2026-03-16 13:31:00+00:00,152.36599731445312,152.88999938964844,152.05999755859375,152.73989868164062,177659
2026-03-16 13:32:00+00:00,152.68499755859375,152.8800048828125,152.0,152.375,145560
2026-03-16 13:33:00+00:00,153.0449981689453,153.1199951171875,152.4001007080078,152.68479919433594,129945
2026-03-16 13:34:00+00:00,152.82000732421875,153.1999969482422,152.61000061035156,153.10000610351562,122010
2026-03-16 13:35:00+00:00,152.7122039794922,153.25,152.5200958251953,152.8350067138672,166965
2026-03-16 13:36:00+00:00,152.7198944091797,153.10000610351562,152.5500946044922,152.77999877929688,108627
2026-03-16 13:37:00+00:00,152.82000732421875,152.8699951171875,152.39999389648438,152.66000366210938,101396
2026-03-16 13:38:00+00:00,152.3000030517578,152.8699951171875,152.0,152.82000732421875,149493
2026-03-16 13:39:00+00:00,152.41000366210938,152.5500030517578,152.2100067138672,152.36000061035156,73904
2026-03-16 13:40:00+00:00,152.77999877929688,152.77999877929688,152.16000366210938,152.41000366210938,119466
2026-03-16 13:41:00+00:00,152.32000732421875,152.83999633789062,152.2899932861328,152.6999969482422,1112564
2026-03-16 13:42:00+00:00,152.19000244140625,152.5,152.05999755859375,152.2899932861328,0
2026-03-16 13:43:00+00:00,152.3311004638672,152.42999267578125,152.10000610351562,152.15499877929688,77494
2026-03-16 13:44:00+00:00,152.0,152.3800048828125,151.82000732421875,152.34500122070312,142914
2026-03-16 13:45:00+00:00,152.27999877929688,152.41000366210938,151.8917999267578,151.8917999267578,116259
2026-03-16 13:46:00+00:00,152.1699981689453,152.27499389648438,151.76010131835938,152.27499389648438,115343
2026-03-16 13:47:00+00:00,151.9600067138672,152.32000732421875,151.8300018310547,152.17999267578125,95634
2026-03-16 13:48:00+00:00,152.22500610351562,152.24000549316406,151.61000061035156,151.9774932861328,116226
2026-03-16 13:49:00+00:00,152.63999938964844,152.63999938964844,151.99749755859375,152.22999572753906,130470
2026-03-16 13:50:00+00:00,152.30999755859375,152.7899932861328,152.2899932861328,152.5872039794922,1504355
2026-03-16 13:51:00+00:00,152.25,152.4499969482422,152.05999755859375,152.27999877929688,0
2026-03-16 13:52:00+00:00,152.4700927734375,152.82000732421875,152.24000549316406,152.25,1595500
2026-03-16 13:53:00+00:00,152.24000549316406,152.6300048828125,152.10009765625,152.5352020263672,97946
2026-03-16 13:54:00+00:00,152.22300720214844,152.37989807128906,152.1999969482422,152.22850036621094,0
2026-03-16 13:55:00+00:00,152.0800018310547,152.2899932861328,151.91000366210938,152.24000549316406,61070
2026-03-16 13:56:00+00:00,152.3280029296875,152.3800048828125,151.91000366210938,152.11000061035156,74160
2026-03-16 13:57:00+00:00,152.52999877929688,152.5500030517578,152.2899932861328,152.3300018310547,1596990
2026-03-16 13:58:00+00:00,152.49000549316406,152.77999877929688,152.49000549316406,152.53500366210938,0
2026-03-16 13:59:00+00:00,152.0850067138672,152.56500244140625,151.9600067138672,152.5500030517578,67277
2026-03-16 14:00:00+00:00,151.74989318847656,152.3000030517578,151.6416015625,152.08999633789062,1909936
2026-03-16 14:01:00+00:00,152.1300048828125,152.15499877929688,151.69000244140625,151.74000549316406,89494
2026-03-16 14:02:00+00:00,152.20989990234375,152.2100067138672,151.91000366210938,152.1300048828125,0
2026-03-16 14:03:00+00:00,151.91000366210938,152.4199981689453,151.89450073242188,152.156005859375,70310
2026-03-16 14:04:00+00:00,151.92999267578125,152.00399780273438,151.75,151.91000366210938,1948831
2026-03-16 14:05:00+00:00,152.0500030517578,152.0699005126953,151.86000061035156,151.95370483398438,0
2026-03-16 14:06:00+00:00,152.44000244140625,152.47999572753906,151.80999755859375,151.99000549316406,88775
2026-03-16 14:07:00+00:00,152.22999572753906,152.60000610351562,152.14999389648438,152.45989990234375,70047
2026-03-16 14:08:00+00:00,152.7550048828125,152.89999389648438,152.2100067138672,152.24000549316406,2146473
2026-03-16 14:09:00+00:00,152.56500244140625,152.7993927001953,152.38999938964844,152.7938995361328,0
2026-03-16 14:10:00+00:00,152.82000732421875,152.82000732421875,152.41000366210938,152.52999877929688,52887
2026-03-16 14:11:00+00:00,152.7050018310547,152.92999267578125,152.64999389648438,152.8300018310547,88781
2026-03-16 14:12:00+00:00,152.4600067138672,152.82989501953125,152.44200134277344,152.7050018310547,51744
2026-03-16 14:13:00+00:00,152.72999572753906,152.77999877929688,152.47500610351562,152.47500610351562,56046
2026-03-16 14:14:00+00:00,152.72500610351562,152.85000610351562,152.63999938964844,152.72979736328125,67906
2026-03-16 14:15:00+00:00,152.22999572753906,152.72500610351562,152.0800018310547,152.69500732421875,93309
