date,Open,High,Low,Close,Volume,volumenotional,tradesdone
2026-04-02 00:00:00+00:00,6.000408815265371e-06,6.000408815265371e-06,6.000408815265371e-06,6.000408815265371e-06,5454175.0,32.72727975,2.0
2026-04-02 00:01:00+00:00,6.01e-06,6.01e-06,6.01e-06,6.01e-06,1008319.0,6.05999719,1.0
2026-04-02 00:02:00+00:00,6.009465431843919e-06,6.009465431843919e-06,6.008930863687839e-06,6.008930863687839e-06,128332373.0,771.1403569299999,5.0
2026-04-02 00:03:00+00:00,6e-06,6e-06,6e-06,6e-06,333301.0,1.999806,1.0
2026-04-02 00:04:00+00:00,6.007221823978884e-06,6.007221823978884e-06,6.006527279973605e-06,6.006527279973605e-06,23324656.0,140.10018256,3.0
2026-04-02 00:05:00+00:00,6.01e-06,6.01e-06,6.01e-06,6.01e-06,19633943.0,117.99999743000001,1.0
2026-04-02 00:06:00+00:00,6.01e-06,6.01e-06,6.01e-06,6.01e-06,87677456.0,526.94151056,4.0
2026-04-02 00:07:00+00:00,6.01e-06,6.01e-06,6.01e-06,6.01e-06,166389.0,0.9999978900000001,1.0
2026-04-02 00:08:00+00:00,6.01e-06,6.01e-06,6.01e-06,6.01e-06,8572281.0,51.51940881,2.0
2026-04-02 00:09:00+00:00,6.01e-06,6.01e-06,6e-06,6e-06,269628107.0,1617.768642,6.0
2026-04-02 00:10:00+00:00,6.019864422350373e-06,6.019864422350373e-06,6.019864422350373e-06,6.019864422350373e-06,45768237.0,275.51858159,4.0
2026-04-02 00:11:00+00:00,6.014122042371782e-06,6.02e-06,6.014122042371782e-06,6.014122042371782e-06,9779669.0,58.8161229,5.0
2026-04-02 00:12:00+00:00,6e-06,6.01e-06,6e-06,6.01e-06,14117700.0,84.847377,3.0
2026-04-02 00:15:00+00:00,6.02e-06,6.02e-06,6.02e-06,6.02e-06,1715149.0,10.32519698,1.0
2026-04-02 00:16:00+00:00,6.014e-06,6.014e-06,6.014e-06,6.014e-06,1621923.8693,9.7542501499702,1.0
